time	accel_ms2
4.86	-0.022049574
4.865	-0.000537783
4.87	0.020849097
4.875	0.034957075
4.88	0.037970492
4.885	0.031712193
4.89	0.022869827
4.895	0.018970724
4.9	0.023325474
4.905	0.032120488
4.91	0.036187665
4.915	0.026980883
4.92	0.002767079
4.925	-0.029349004
4.93	-0.057227656
4.935	-0.070920831
4.94	-0.067770262
4.945	-0.051957498
4.95	-0.030417996
4.955	-0.009107074
4.96	0.008439982
4.965	0.020776499
4.97	0.027503885
4.975	0.028478729
4.98	0.023651513
4.985	0.013370118
4.99	-0.001410918
4.995	-0.019060146
5	-0.037000226
5.005	-0.05146881
5.01	-0.058136148
5.015	-0.053543146
5.02	-0.036362752
5.025	-0.008255148
5.03	0.025539932
5.035	0.05674904
5.04	0.076131442
5.045	0.076841635
5.05	0.057823656
5.055	0.024932362
5.06	-0.011311156
5.065	-0.040187697
5.07	-0.054915427
5.075	-0.054403614
5.08	-0.042382265
5.085	-0.025050332
5.09	-0.008353636
5.095	0.004306708
5.1	0.01303358
5.105	0.020549767
5.11	0.029890996
5.115	0.04164776
5.12	0.052321701
5.125	0.055363421
5.13	0.044990762
5.135	0.020911136
5.14	-0.009695742
5.145	-0.035002516
5.15	-0.04483972
5.155	-0.036693703
5.16	-0.017147338
5.165	0.002407549
5.17	0.012541479
5.175	0.010309569
5.18	-0.000414895
5.185	-0.012142417
5.19	-0.018407771
5.195	-0.017047693
5.2	-0.01049813
5.205	-0.003597565
5.21	-0.000996984
5.215	-0.005560904
5.22	-0.017397171
5.225	-0.033192839
5.23	-0.04658886
5.235	-0.050201906
5.24	-0.038896812
5.245	-0.013007204
5.25	0.020501829
5.255	0.050192504
5.26	0.065204607
5.265	0.061007863
5.27	0.042244598
5.275	0.020176059
5.28	0.006181251
5.285	0.005840569
5.29	0.016648938
5.295	0.029639176
5.3	0.033955822
5.305	0.02276775
5.31	-0.002279022
5.315	-0.031131159
5.32	-0.050463038
5.325	-0.051346931
5.33	-0.034586525
5.335	-0.009855271
5.34	0.010436107
5.345	0.017563856
5.35	0.009438005
5.355	-0.009616303
5.36	-0.031200237
5.365	-0.04649598
5.37	-0.049548461
5.375	-0.038895837
5.38	-0.017653163
5.385	0.007310989
5.39	0.027534213
5.395	0.036416956
5.4	0.032123354
5.405	0.018105744
5.41	0.001257666
5.415	-0.011195738
5.42	-0.014533423
5.425	-0.00827872
5.43	0.003519189
5.435	0.0143989
5.44	0.019245177
5.445	0.017176907
5.45	0.011637055
5.455	0.007689903
5.46	0.008652783
5.465	0.014257363
5.47	0.020975962
5.475	0.023996291
5.48	0.019938682
5.485	0.009237445
5.49	-0.003431145
5.495	-0.011324563
5.5	-0.009192179
5.505	0.003518689
5.51	0.021546187
5.515	0.036034923
5.52	0.03961107
5.525	0.031212579
5.53	0.016882365
5.535	0.005836657
5.54	0.004941231
5.545	0.015794696
5.55	0.03561213
5.555	0.059929062
5.56	0.084928846
5.565	0.10813127
5.57	0.12747558
5.575	0.14041934
5.58	0.14460493
5.585	0.1396606
5.59	0.12800036
5.595	0.11327889
5.6	0.097695038
