"longitude","latitude","pga_cms2","pga_g"
-1.8,53.6,76.495,0.0780031917117466
-1.6,53.6,78.19,0.0797316106927442
-1.4,53.6,78.19,0.0797316106927442
-1.2,53.6,84.935,0.0866095965492803
-1,53.6,89.86,0.0916316988981966
-0.8,53.6,69.59,0.070962051261134
-0.6,53.6,90.645,0.0924321761253843
-0.4,53.6,90.645,0.0924321761253843
-0.2,53.6,90.645,0.0924321761253843
-3,53.8,63.28,0.0645276419572433
-2.8,53.8,61.425,0.0626360683821692
-2.6,53.8,61.305,0.0625137024366119
-2.4,53.8,61.305,0.0625137024366119
-2.2,53.8,42.03,0.0428586724314623
-2,53.8,56.92,0.0580422468427037
-1.8,53.8,61.995,0.0632173066235667
-1.6,53.8,59.435,0.0606068331183432
-1.4,53.8,77.195,0.0787169930608312
-1.2,53.8,58.725,0.0598828346071288
-1,53.8,67.115,0.0684382536340137
-0.8,53.8,71.865,0.0732819056456588
-0.6,53.8,92.305,0.0941249050389277
-0.4,53.8,92.305,0.0941249050389277
-0.2,53.8,92.305,0.0941249050389277
-2.8,54,69.26,0.0706255449108513
-2.6,54,64.525,0.0657971886424008
-2.4,54,68.49,0.0698403634268583
-2.2,54,53.55,0.0546058032049681
-2,54,49.55,0.0505269383530563
-1.8,54,55.905,0.0570072348865311
-1.6,54,57,0.0581238241397419
-1.4,54,54.09,0.0551564499599761
-1.2,54,41.475,0.0422927299332596
-1,54,69.22,0.0705847562623322
-0.8,54,69.85,0.0712271774765083
-0.6,54,69.85,0.0712271774765083
-0.4,54,70.595,0.0719868660551768
-0.2,54,91.515,0.0933193292306751
-7.6,54.2,0.6837,0.00069717997481301
-7.4,54.2,3.5735,0.00364395588707663
-6.6,54.2,6.713,0.00684535493772083
-6.4,54.2,8.2155,0.00837747854772017
-6.2,54.2,9.741,0.009933055630618
-6,54.2,9.777,0.0099697654142852
-3.2,54.2,62.08,0.0633039825016698
-3,54.2,63.505,0.0647570781051633
-2.8,54.2,51.23,0.0522400615908593
-2.6,54.2,73,0.0744392835473888
-2.4,54.2,54.74,0.0558192654984118
-2.2,54.2,54.74,0.0558192654984118
-2,54.2,55.27,0.0563597150912901
-1.8,54.2,49.975,0.050960317743572
-1.6,54.2,51.13,0.0521380899695615
-1.4,54.2,51.13,0.0521380899695615
-1.2,54.2,51.13,0.0521380899695615
-1,54.2,25.005,0.0254980039055131
-0.8,54.2,35.925,0.0366333049512321
-0.6,54.2,67.115,0.0684382536340137
-0.4,54.2,67.935,0.0692744209286556
-8,54.4,0.69155,0.00070518474708488
-7.8,54.4,3.5145,0.00358379263051093
-7.6,54.4,4.1695,0.00425170675001147
-7.4,54.4,4.8785,0.00497468554501282
-7.2,54.4,4.845,0.00494052505187806
-6.8,54.4,7.6055,0.00775545165780363
-6.6,54.4,7.319,0.00746330296278546
-6.4,54.4,7.351,0.00749593388160075
-6.2,54.4,8.242,0.00840450102736408
-6,54.4,9.3825,0.00956748736826541
-5.8,54.4,8.651,0.00882156495847206
-5.6,54.4,8.649,0.0088195255260461
-3.4,54.4,98.485,0.100426751235131
-3.2,54.4,98.485,0.100426751235131
-3,54.4,64.21,0.0654759780353128
-2.8,54.4,76.305,0.0778094456312808
-2.6,54.4,51.595,0.0526122580085962
-2.4,54.4,55.195,0.0562832363753168
-2.2,54.4,55.195,0.0562832363753168
-2,54.4,54.62,0.0556968995528544
-1.8,54.4,48.235,0.0491860115329904
-1.6,54.4,47.965,0.0489106881554863
-1.4,54.4,47.965,0.0489106881554863
-1.2,54.4,26.515,0.0270377753871098
-1,54.4,25.56,0.0260639464037158
-0.8,54.4,24.525,0.0250085401232837
-0.6,54.4,27.315,0.0278535483574921
-7.6,54.6,4.921,0.00501802348406439
-7.4,54.6,4.957,0.00505473326773159
-7.2,54.6,7.209,0.00735113417935788
-7,54.6,7.3245,0.00746891140195683
-6.8,54.6,7.393,0.00753876196254582
-6.6,54.6,7.3175,0.00746177338846599
-6.4,54.6,7.379,0.00752448593556413
-6.2,54.6,6.7855,0.00691928436316173
-6,54.6,7.5295,0.00767795322561731
-5.8,54.6,7.685,0.00783651909673538
-5.6,54.6,8.645,0.00881544666119419
-3.4,54.6,104.35,0.106407386824247
-3.2,54.6,104.35,0.106407386824247
-3,54.6,104.35,0.106407386824247
-2.8,54.6,76.365,0.0778706286040595
-2.6,54.6,76.365,0.0778706286040595
-2.4,54.6,56.515,0.0576292617764476
-2.2,54.6,56.515,0.0576292617764476
-2,54.6,56.515,0.0576292617764476
-1.8,54.6,48.84,0.049802939841842
-1.6,54.6,35.575,0.0362764042766898
-1.4,54.6,25.435,0.0259364818770936
-1.2,54.6,21.99,0.0224235595233846
-1,54.6,21.39,0.0218117297955979
-7.4,54.8,7.3675,0.00751275919911489
-7.2,54.8,7.4665,0.0076137111041997
-7,54.8,7.528,0.00767642365129784
-6.8,54.8,7.5835,0.00773301790111812
-6.6,54.8,7.5835,0.00773301790111812
-6.4,54.8,7.5545,0.00770344613094176
-6.2,54.8,7.3545,0.00749950288834617
-6,54.8,7.5635,0.00771262357685856
-5.8,54.8,7.571,0.00772027144845589
-5,54.8,8.2415,0.0084039911692576
-4.6,54.8,11.765,0.0119969612456853
-4.4,54.8,24.285,0.024763808232169
-4,54.8,58.145,0.0592913992036016
-3.4,54.8,107.1,0.109211606409936
-3.2,54.8,107.1,0.109211606409936
-3,54.8,79.945,0.0815212126465205
-2.8,54.8,77.18,0.0787016973176365
-2.6,54.8,57.065,0.0581901056935855
-2.4,54.8,57.065,0.0581901056935855
-2.2,54.8,57.065,0.0581901056935855
-2,54.8,48.43,0.0493848561945211
-1.8,54.8,24.755,0.0252430748522686
-1.6,54.8,20.515,0.0209194781092422
-1.4,54.8,20.27,0.0206696476370626
-7.2,55,7.688,0.00783957824537431
-7,55,7.688,0.00783957824537431
-6.8,55,7.698,0.00784977540750409
-6.6,55,7.703,0.00785487398856898
-6.4,55,7.608,0.00775800094833608
-6.2,55,8.344,0.00850851208108783
-6,55,9.802,0.00999525831960965
-5,55,7.209,0.00735113417935788
-4.8,55,9.697,0.00988818811724697
-4.6,55,12.31,0.0125527065817583
-4.4,55,26.06,0.0265738045102048
-4.2,55,35.98,0.0366893893429459
-4,55,52.3,0.0533311579387456
-3.8,55,85.855,0.08754773546522
-3.6,55,64.845,0.0661234978305538
-3.4,55,103.7,0.105744571285811
-3.2,55,103.7,0.105744571285811
-3,55,77.82,0.0793543156939424
-2.8,55,51.51,0.0525255821304931
-2.6,55,58.26,0.0594086665680941
-2.4,55,58.26,0.0594086665680941
-2.2,55,48.155,0.0491044342359521
-2,55,29.615,0.0301988956473413
-1.8,55,26.095,0.026609494577659
-1.6,55,17.435,0.0177787521732702
-1.4,55,14.225,0.014505463129611
-6.6,55.2,8.2895,0.00845293754748054
-6.4,55.2,10.385,0.0105897528717758
-6.2,55.2,10.625,0.0108344847628905
-4.8,55.2,27.57,0.0281135759918015
-4.6,55.2,15.79,0.0161013190029215
-4.4,55.2,17.9,0.0182529202123049
-4.2,55.2,22.685,0.0231322622914043
-4,55.2,30.565,0.0311676260496704
-3.8,55.2,85.84,0.0875324397220254
-3.6,55.2,56.34,0.0574508114391765
