"event","channel","filtering","station","epidistance","station_latitude","station_longitude","Vs_30_value","site_type_binary","groundmotion","amplitude","component","groundmotion_bis","filtering_bis"
"swansea","Hchan","f35Hz","HMNX",307.276,50.8673,0.3363,900,"Rock","Dis_Max",0.002,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Hchan","f35Hz","HPK",285.214,53.9582,-1.6242,760,"Soil","Dis_Max",0.0016,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Hchan","f35Hz","HTL",97.597,50.9943,-4.4848,1000,"Rock","Dis_Max",0.0011,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Hchan","f35Hz","KESW",317.409,54.5887,-3.1048,900,"Rock","Dis_Max",0.001,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Hchan","f35Hz","LBWR",230.895,53.4015,-1.7247,900,"Rock","Dis_Max",0.0017,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Hchan","f35Hz","LMK",302.498,53.4573,-0.3274,900,"Rock","Dis_Max",0.0017,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Hchan","f35Hz","MCH1",62.602,51.9973,-2.9983,760,"Soil","Dis_Max",0.0011,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Hchan","f35Hz","MONM",71.175,51.8392,-2.8042,760,"Soil","Dis_Max",0.0027,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Hchan","f35Hz","OLDB",89.287,51.6605,-2.5502,180,"Soil","Dis_Max",0.0207,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Hchan","f35Hz","RSBS",66.224,51.9528,-4.7448,760,"Soil","Dis_Max",0.0032,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Hchan","f35Hz","STNC",183.884,53.0913,-2.2062,760,"Soil","Dis_Max",0.0036,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Hchan","f35Hz","STRD",115.098,51.7758,-2.1625,600,"Soil","Dis_Max",0.0068,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Hchan","f35Hz","SWN1",143.375,51.5132,-1.8003,503,"Soil","Dis_Max",0.0072,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Hchan","f35Hz","TGGS",145.146,50.477,-3.5536,759,"Soil","Dis_Max",0.0016,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Hchan","f35Hz","WACR",322.317,52.7246,0.6266,466,"Soil","Dis_Max",4e-04,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Hchan","f35Hz","WLF1",173.39,53.2894,-4.3966,2500,"Rock","Dis_Max",0.0023,"maximum","PGD","high frequency filtering (35 Hz)"
"dudley","Bchan","f10Hz","HBL2",79.95,52.0509,-3.0365,760,"Soil","Vel_Max",NA,"maximum","PGV","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","KEY2",82.64,52.879,-1.077,550,"Soil","Vel_Max",NA,"maximum","PGV","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","SWN",115.65,51.5137,-1.8007,500,"Soil","Vel_Max",NA,"maximum","PGV","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","LDU",147.5,53.8058,-1.554,1000,"Rock","Vel_Max",NA,"maximum","PGV","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","WOL",150.2,51.31,-1.22,500,"Soil","Vel_Max",NA,"maximum","PGV","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","AEU",229.6,52.6202,1.2347,500,"Soil","Vel_Max",NA,"maximum","PGV","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","BBO",255.16,54.7367,-3.2464,500,"Soil","Vel_Max",NA,"maximum","PGV","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","BTA",266.4,54.9057,-2.6844,500,"Soil","Vel_Max",NA,"maximum","PGV","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","BNA",287.43,54.9658,-3.6242,900,"Rock","Vel_Max",NA,"maximum","PGV","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","BHH",293.34,55.0931,-3.2181,500,"Soil","Vel_Max",NA,"maximum","PGV","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","ESK",317,55.3165,-3.2052,2000,"Rock","Vel_Max",NA,"maximum","PGV","low frequency filtering (10 Hz)"
"dudley","Bchan","f10Hz","CCA",337,50.1866,-5.2277,845,"Rock","Vel_Max",NA,"maximum","PGV","low frequency filtering (10 Hz)"
"folkestone","Hchan","f10Hz","TFO",2.532,51.1135,1.1409,480,"Soil","Vel_Max",NA,"maximum","PGV","low frequency filtering (10 Hz)"
"folkestone","Hchan","f10Hz","APAE",135.476,52.3006,1.4782,300,"Soil","Vel_Max",NA,"maximum","PGV","low frequency filtering (10 Hz)"
"folkestone","Hchan","f10Hz","CWF",249.562,52.7385,-1.3077,1050,"Rock","Vel_Max",0.0033,"maximum","PGV","low frequency filtering (10 Hz)"
"folkestone","Hchan","f10Hz","HLM1",320.795,52.5183,-2.8807,1000,"Rock","Vel_Max",0.0026,"maximum","PGV","low frequency filtering (10 Hz)"
"folkestone","Hchan","f10Hz","MCH",305.84,51.9973,-2.9983,900,"Rock","Vel_Max",0.0019,"maximum","PGV","low frequency filtering (10 Hz)"
"folkestone","Hchan","f10Hz","STNC",320.292,53.0913,-2.2062,760,"Soil","Vel_Max",0.0056,"maximum","PGV","low frequency filtering (10 Hz)"
"folkestone","Hchan","f10Hz","SWN1",212.156,51.5132,-1.8003,503,"Soil","Vel_Max",0.0069,"maximum","PGV","low frequency filtering (10 Hz)"
"folkestone","Hchan","f10Hz","WOL",168.65,51.31,-1.22,500,"Soil","Vel_Max",0.0053,"maximum","PGV","low frequency filtering (10 Hz)"
"rasen","Hchan","f10Hz","CWF",98.558,52.7385,-1.3077,1050,"Rock","Vel_Max",0.2877,"maximum","PGV","low frequency filtering (10 Hz)"
"rasen","Hchan","f10Hz","EDI",335.945,55.9233,-3.1875,900,"Rock","Vel_Max",0.0103,"maximum","PGV","low frequency filtering (10 Hz)"
"rasen","Hchan","f10Hz","ESK",283.587,55.3165,-3.2052,2000,"Rock","Vel_Max",0.0132,"maximum","PGV","low frequency filtering (10 Hz)"
"rasen","Hchan","f10Hz","GAL1",329.548,54.8663,-4.7113,390,"Soil","Vel_Max",0.0081,"maximum","PGV","low frequency filtering (10 Hz)"
"rasen","Hchan","f10Hz","HLM1",197.485,52.5183,-2.8807,1000,"Rock","Vel_Max",0.0193,"maximum","PGV","low frequency filtering (10 Hz)"
"rasen","Hchan","f10Hz","HPK",105.698,53.9582,-1.6242,760,"Soil","Vel_Max",0.6869,"maximum","PGV","low frequency filtering (10 Hz)"
"rasen","Hchan","f10Hz","MCH1",238.517,51.9973,-2.9983,760,"Soil","Vel_Max",0.0433,"maximum","PGV","low frequency filtering (10 Hz)"
"rasen","Hchan","f10Hz","STNC",129.866,53.0913,-2.2062,760,"Soil","Vel_Max",0.1832,"maximum","PGV","low frequency filtering (10 Hz)"
"rasen","Hchan","f10Hz","SWN1",232.523,51.5132,-1.8003,503,"Soil","Vel_Max",0.1081,"maximum","PGV","low frequency filtering (10 Hz)"
"rasen","Hchan","f10Hz","WLF1",271.089,53.2893,-4.3967,2500,"Rock","Vel_Max",0.0648,"maximum","PGV","low frequency filtering (10 Hz)"
"rasen","Bchan","f10Hz","ESKII",283.595,55.3167,-3.205,900,"Rock","Vel_Max",0.0103,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","CCA1",201.621,50.1867,-5.2273,845,"Rock","Vel_Max",0.0138,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","CWF",203.162,52.7385,-1.3077,1050,"Rock","Vel_Max",0.0116,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","DYA",148.651,50.4353,-3.931,1050,"Rock","Vel_Max",0.0337,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","HLM1",105.624,52.5183,-2.8807,1000,"Rock","Vel_Max",0.0397,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","HMNX",307.276,50.8673,0.3363,900,"Rock","Vel_Max",0.0131,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","HPK",285.214,53.9582,-1.6242,760,"Soil","Vel_Max",0.0204,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","HTL",97.597,50.9943,-4.4848,1000,"Rock","Vel_Max",0.0214,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","KESW",317.409,54.5887,-3.1048,900,"Rock","Vel_Max",0.0062,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","LBWR",230.895,53.4015,-1.7247,900,"Rock","Vel_Max",0.0206,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","LMK",302.498,53.4573,-0.3274,900,"Rock","Vel_Max",0.0171,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","MCH1",62.602,51.9973,-2.9983,760,"Soil","Vel_Max",0.0193,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","MONM",71.175,51.8392,-2.8042,760,"Soil","Vel_Max",0.0647,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","OLDB",89.287,51.6605,-2.5502,180,"Soil","Vel_Max",0.4208,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","RSBS",66.224,51.9528,-4.7448,760,"Soil","Vel_Max",0.0415,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","STNC",183.884,53.0913,-2.2062,760,"Soil","Vel_Max",0.0497,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","STRD",115.098,51.7758,-2.1625,600,"Soil","Vel_Max",0.1117,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","SWN1",143.375,51.5132,-1.8003,503,"Soil","Vel_Max",0.1057,"maximum","PGV","low frequency filtering (10 Hz)"
